No. Cuenta,RPU,Nombre,Direccion,Colonia,Tarifa,Hilos,Carga Ins.,Demanda Cont.,Tipo Sum,Promedio Diario,No. Medidor,Año,Censo Fecha,No. Lamparas
80DP08Y405500001,075800700655,MPIO CORTAZAR,EL SALITRE  GTO               ,SALITRE CYA R                 ,5A,1,2.65,3.28,3,31.8,n/c,2023,29/09/2023,27
14DP08E011400619,068181100200,MPIO CORTAZAR,DURANGO Y CHIHUAHUA S N       ,FLORES LAS CORTAZAR           ,5A,2,0,0,3,2.623,P002HF,2023,22/06/2023,8
14DP08E011400851,068181100188,MPIO CORTAZAR,PROL GUTIERREZ NAJERA S N     ,CENTRO CORTAZAR               ,5A,2,0.481,0.495,3,0,P003HF,2023,25/09/2023,7
18DP08E011816222,068150851711,MPIO CORTAZAR,VILLA DEL PEDREGAL            ,VILLAS DE SN CRISTOBAL CORT   ,5A,2,2.25,1.187,3,2.1803,533DLF,2023,30/09/2023,12
18DP08E011816412,068200101212,MPIO CORTAZAR,NOGAL SN                      ,FRESNO EL CORTAZAR            ,5A,2,0.25,0.327,3,5.9344,FG809C,2023,26/09/2023,5
16DP08E221620031,068201290744,MUNICIPIO DE CORTAZAR,PRIV RCHO VIEJO S N           ,ZAPOTE EL CORTAZAR            ,5A,2,0,0,2,0,MA944P,2023,22/06/2023,3
16DP08E221620307,068200500443,MPIO CORTAZAR,JAMAICA  PALMAS 2 S N SN      ,ZAPOTE EL CORTAZAR            ,5A,2,1,0.815,3,16.5574,EN459H,2023,30/09/2023,8
16DP08E181620061,068231150581,MUNICIPIO DE CORTAZAR,NIO ARTILLERO S N             ,MINILLA LA CORTAZAR           ,5A,2,8,8,2,3.7705,JMJ398,2023,23/11/2023,1
16DP08E181620274,068200600821,MPIO DECORTAZAR GTO,FRANCISCO VILLA S N           ,MINILLA LA CORTAZAR           ,5A,2,0,0,3,8.5082,FG744C,2021,11/10/2021,5
15DP08E051522865,068200200491,MPIO CORTAZAR,PERFIL Y FCO I MADERO SN      ,CANADA DE CARACHEO CORTAZAR   ,5A,2,0.387,0.43,3,7.6316,Y664KL,2023,25/09/2023,5
